iter	Passed	Remaining
447	1141	1406
448	1143	1403
449	1146	1400
450	1148	1398
451	1150	1395
452	1153	1392
453	1155	1389
454	1158	1387
455	1160	1384
456	1163	1382
457	1165	1378
458	1168	1377
459	1171	1375
460	1173	1372
461	1175	1369
462	1178	1366
463	1180	1363
464	1183	1361
465	1185	1358
466	1188	1356
467	1192	1355
468	1194	1351
469	1196	1349
470	1199	1347
471	1202	1344
472	1204	1341
473	1208	1340
474	1210	1337
475	1212	1334
476	1215	1332
477	1217	1329
478	1219	1326
479	1222	1324
480	1224	1320
481	1226	1317
482	1228	1315
483	1230	1312
484	1232	1309
485	1235	1306
486	1237	1304
487	1241	1302
488	1243	1299
489	1246	1297
490	1248	1294
491	1250	1291
492	1252	1288
493	1254	1285
494	1256	1282
495	1258	1279
496	1260	1275
497	1262	1272
498	1265	1270
499	1267	1267
500	1269	1264
501	1271	1261
502	1273	1258
503	1275	1255
504	1277	1252
505	1281	1251
506	1283	1248
507	1285	1244
508	1288	1242
509	1290	1239
510	1293	1237
511	1295	1234
512	1297	1231
513	1299	1228
514	1301	1225
515	1304	1223
516	1306	1220
517	1308	1217
518	1310	1214
519	1312	1211
520	1314	1208
521	1317	1206
522	1319	1203
523	1321	1200
524	1326	1199
525	1328	1197
526	1330	1194
527	1332	1191
528	1334	1188
529	1339	1188
530	1342	1185
531	1344	1182
532	1346	1180
533	1349	1177
534	1352	1175
535	1356	1174
536	1358	1171
537	1361	1169
538	1364	1167
539	1366	1163
540	1368	1161
541	1370	1158
542	1373	1155
543	1375	1153
544	1378	1150
545	1380	1147
546	1381	1144
547	1384	1141
548	1389	1141
549	1393	1140
550	1395	1137
551	1401	1137
552	1402	1134
553	1405	1131
554	1408	1129
555	1410	1126
556	1412	1123
557	1414	1120
558	1416	1117
559	1418	1114
560	1421	1112
561	1424	1109
562	1425	1106
563	1428	1103
564	1431	1101
565	1433	1099
566	1435	1096
567	1437	1093
568	1439	1090
569	1442	1088
570	1445	1085
571	1447	1083
572	1451	1081
573	1453	1078
574	1455	1076
575	1459	1074
576	1463	1072
577	1466	1070
578	1469	1068
579	1471	1065
580	1474	1063
581	1476	1060
582	1478	1057
583	1480	1054
584	1483	1052
585	1484	1049
586	1487	1046
587	1490	1044
588	1492	1041
589	1493	1038
590	1496	1035
591	1498	1032
592	1501	1030
593	1503	1027
594	1505	1024
595	1507	1021
596	1510	1019
597	1512	1016
598	1514	1013
599	1516	1011
600	1519	1008
601	1521	1005
602	1523	1003
603	1525	1000
604	1527	997
605	1530	994
606	1532	992
607	1534	989
608	1536	986
609	1538	983
610	1540	981
611	1543	978
612	1545	975
613	1547	973
614	1550	970
615	1551	967
616	1554	964
617	1556	961
618	1558	958
619	1560	956
620	1563	954
621	1565	951
622	1567	948
623	1569	945
624	1571	942
625	1573	940
626	1576	937
627	1578	934
628	1579	931
629	1581	928
630	1583	925
631	1585	923
632	1587	920
633	1589	917
634	1591	914
635	1593	911
636	1595	909
637	1597	906
638	1599	903
639	1601	900
640	1603	898
641	1605	895
642	1608	892
643	1610	890
644	1612	887
645	1615	885
646	1617	882
647	1618	879
648	1621	876
649	1623	874
650	1625	871
651	1630	870
652	1632	867
653	1636	865
654	1639	863
655	1641	860
656	1643	858
657	1646	855
658	1648	852
659	1649	849
660	1652	847
661	1654	844
662	1657	842
663	1659	839
664	1661	836
665	1663	834
666	1665	831
667	1667	828
668	1669	825
669	1670	822
670	1672	820
671	1674	817
672	1676	814
673	1678	812
674	1681	809
675	1684	807
676	1686	804
677	1687	801
678	1690	799
679	1692	796
680	1695	794
681	1698	791
682	1701	789
683	1703	786
684	1705	784
685	1707	781
686	1709	778
687	1711	776
688	1713	773
689	1716	771
690	1718	768
691	1720	765
692	1722	763
693	1725	760
694	1727	758
695	1729	755
696	1731	752
697	1734	750
698	1736	747
699	1738	745
700	1740	742
701	1742	739
702	1744	737
703	1746	734
704	1749	731
705	1750	729
706	1752	726
707	1754	723
708	1756	721
709	1758	718
710	1761	716
711	1765	714
712	1766	711
713	1769	708
714	1771	706
715	1773	703
716	1775	700
717	1777	698
718	1779	695
719	1781	692
720	1784	690
721	1786	687
722	1788	685
723	1791	683
724	1793	680
725	1795	677
726	1798	675
727	1800	672
728	1802	669
729	1804	667
730	1806	664
731	1808	662
732	1810	659
733	1812	656
734	1814	654
735	1816	651
736	1819	649
737	1821	646
738	1823	644
739	1825	641
740	1827	638
741	1829	636
742	1831	633
743	1833	630
744	1835	628
745	1837	625
746	1839	623
747	1841	620
748	1844	617
749	1845	615
750	1847	612
751	1851	610
752	1853	607
753	1854	605
754	1856	602
755	1858	599
756	1860	597
757	1862	594
758	1864	592
759	1866	589
760	1868	586
761	1870	584
762	1872	581
763	1874	579
764	1876	576
765	1878	573
766	1880	571
767	1882	568
768	1884	565
769	1886	563
770	1888	560
771	1890	558
772	1892	555
773	1894	553
774	1896	550
775	1898	548
776	1900	545
777	1902	542
778	1904	540
779	1906	537
780	1909	535
